Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
43,Anulex Technologies,5273,$5.8 million,Health,Minnetonka,MN,http://www.inc.com/inc5000/profile/anulex-technologies,http://www.anulex.com,Anulex Technologies develops technologies and surgical techniques to improve treatment of herniated discs. The company is dedicated to improving patient outcomes by reducing recurrent disc herniation and reoperation following a discectomy procedure.,"$108,098",52,2001,#3
44,Three Pillar Global,5003,$5.2 million,Business Products & Services,Fairfax,VA,http://www.inc.com/inc5000/profile/three-pillar-global,http://www.threepillarglobal.com,"Three Pillar Global is the result of the merger in late 2009 of Three Pillar Software and LeverPoint, a software development outsourcing and professional services company. Three Pillar Global designs, develops, and implements IT products and services for the federal government, commercial enterprises, and independent software vendors.","$101,380",90,2003,#4
45,Exceptional Risk Advisors,4931,$6.9 million,Insurance,Mahwah,NJ,http://www.inc.com/inc5000/profile/exceptional-risk-advisors,http://www.exceptionalriskadvisors.com,"Exceptional Risk Advisors specializes in developing, underwriting, and processing insurance products for advisors with affluent clients, including entertainers, athletes, corporate executives, and physicians. The company partners with Lloyd's of London to write high-limit insurance policies with coverage for exceptional risks and benefit amounts beyond what traditional disability and life insurers offer.","$137,094",12,2006,#2
46,A10 Networks,4928,$20.4 million,Computer Hardware,San Jose,CA,http://www.inc.com/inc5000/profile/a10-networks,http://www.a10networks.com,"A10 Networks makes high-performance server appliances designed to help organizations of all sizes with security, speed, and performance. A10 Networks develops server load-balancing hardware especially for enterprise application delivery, carrier and Internet service providers, and cloud computing and virtualization entities.","$405,161",150,2004,#2
47,Blurb,4830,$45 million,Media,San Francisco,CA,http://www.inc.com/inc5000/profile/blurb,http://www.blurb.com,"Blurb is an online, full-service resource for self-publishing authors to design, publish, market, and sell professional-quality books using the company's free, award-winning BookSmart software. Authors can see the bookmaking process through to the print order completely on their own, or they can hire publishing professionals-illustrators, editors, translators, and more-through BlurbNation, a roster of publishing professionals for hire. The company's bookstore and online marketing tools enable customers to market and sell their books and keep their profits, and Blurb's online social and community features allow customers to create and share Blurb books among friends and colleagues. In 2009, Blurb shipped more than 1.2 million books to more than 60 countries.","$912,000",68,2005,#1
48,Security Credit Services,4696,$21.1 million,Financial Services,Oxford,MS,http://www.inc.com/inc5000/profile/security-credit-services,http://www.securitycreditservicesllc.com,"Security Credit Services purchases and collects on delinquent and charged-off consumer portfolios, such as utilities, medical and hospital, mortgage, credit union, auto, retail, and credit card debt.","$440,000",10,2003,#4
49,FTEN,4531,$20.7 million,Software,New York,NY,http://www.inc.com/inc5000/profile/ften,http://www.ften.com,"FTEN develops a risk management software platform that enables high-speed financial trading and provides pre- and post-trade risk management, market data, and trade surveillance. FTEN's technology processes millions of securities transactions globally, including about 25-35 percent of the daily U.S. equities volume.","$447,033",75,2001,#4
50,Traffiq,4424,$5.7 million,Advertising & Marketing,New York,NY,http://www.inc.com/inc5000/profile/traffiq,http://www.traffiq.com,"Traffiq is an online digital media planning, buying, and management platform that facilitates the buying and selling of display media, yielding maximum return on investment for advertisers, ad agencies, and publishers.","$125,600",31,2006,#6
51,BackJoy Orthotics,4392,$6.2 million,Consumer Products & Services,Valencia,CA,http://www.inc.com/inc5000/profile/backjoy-orthotics,http://www.backjoy.com,"BackJoy Orthotics sells the BackJoy Core, a sitting device designed to eliminate back pain. The products are sold primarily through direct response TV and online.","$138,615",1,2005,#3
52,NextDocs,4343,$6 million,Software,King Of Prussia,PA,http://www.inc.com/inc5000/profile/nextdocs,http://www.nextdocs.com,"NextDocs customizes and extends the functionality of Microsoft SharePoint 2010 software for clients in highly regulated industries—pharmaceutical, biotech, and medical device companies. Businesses across many other industries also use its products and services for centralized and consolidated tracking, workflow management, and reporting for critical business processes.","$134,749",50,2006,#5
53,MicroTech,4200,$185.3 million,Government Services,Vienna,VA,http://www.inc.com/inc5000/profile/microtech,http://www.microtech.net,"Technology systems integrator MicroTech specializes in government computing environments and manages more than half a million technology users daily. Holding more than 100 prime contracts and more than 20 contract vehicles, MicroTech offers service branches and key civilian agencies access to 300,000 tech products and services.",$4.3 million,348,2004,#11
54,PrintPlace.com,4168,$25 million,Business Products & Services,Arlington,TX,http://www.inc.com/inc5000/profile/printplacecom,http://www.printplace.com,"PrintPlace.com specializes in high-quality, fast turnaround, full-color offset printing. The website offers a powerful and flexible instant quote tool, proofs are instantly generated at no extra cost, and orders can be tracked in real time through the customer's secure account.","$585,000",110,2006,#5
55,CSS Distribution Group,3971,$13.8 million,Business Products & Services,Louisville,KY,http://www.inc.com/inc5000/profile/css-distribution-group,http://www.customersourcingsolutions.com,"CSS Distribution Group is a packing and shipping outsourcer that provides pallets, packaging equipment, and packaging services, bridging the gap between its customers' centralized purchasing teams and their geographically dispersed plants.","$338,302",13,2006,#6
56,Future Ads,3943,$50.6 million,Advertising & Marketing,Irvine,CA,http://www.inc.com/inc5000/profile/future-ads,http://www.futureads.com,"Future Ads is an interactive marketing company that owns and operates online gaming properties Gamevance.com and PlaySushi.com, as well as Resultlinks, the rapidly growing, dynamic bidding interface for in-text advertising. Gamevance.com attracts millions of unique visitors a month, frequently ranks as a top-five gaming site, and was one of the fastest growing Web properties overall in 2009.",$1.3 million,52,2001,#7
57,FedStore,3902,$41.1 million,Government Services,Rockville,MD,http://www.inc.com/inc5000/profile/fedstore,http://www.fedstore.com,FedStore is a service-disabled veteran-owned company that provides IT services for mission critical systems to the federal government.,$1 million,20,2001,#12
58,SingleHop,3896,$6 million,IT Services,Chicago,IL,http://www.inc.com/inc5000/profile/singlehop,http://www.singlehop.com,SingleHop provides managed and unmanaged Web hosting services to small businesses.,"$150,287",27,2006,#3
59,Dean Media Group,3883,$5.9 million,Advertising & Marketing,Chicago,IL,http://www.inc.com/inc5000/profile/dean-media-group,http://www.deanmg.com,"Dean Media Group handles creative design, media strategy, and campaign management for financial services clients in 20 states and all over the world.","$148,209",14,2005,#8
60,GlobaLogix,3805,$13.6 million,Energy,Houston,TX,http://www.inc.com/inc5000/profile/globalogix,http://www.globlx.com,"GlobaLogix provides control and automation engineering, design, and implementation services to oil and gas exploration and production companies.  Its expertise extends from the well site to the control room and into the company back offices. In addition to field services, GlobaLogix offers data management support services that bring the digital oil field to its clients.","$347,586",112,2004,#2
61,Clinical Resources,3692,$4.4 million,Health,Atlanta,GA,http://www.inc.com/inc5000/profile/clinical-resources,http://www.clinicalresources.com,"Clinical Resources is a health care staffing firm specializing in the growing senior care market, placing experienced nurses and other health care professionals in permanent, temporary, and interim positions in hospitals and skilled nursing and assisted living facilities nationwide. Owned and operated by nurses and other health care professionals, Clinical Resources continues to expand its customer base among health payors, pharmaceutical companies, and health IT companies. In 2010, the company continues to build critical mass in its service areas and expand its presence in large corporations, providing occupational health nurses as well as pursuing government contracting opportunities.","$114,788",8,2006,#4
62,FortuneBuilders,3648,$10.1 million,Education,San Diego,CA,http://www.inc.com/inc5000/profile/fortunebuilders,http://www.fortunebuilders.com,"FortuneBuilders conducts hundreds of real estate seminars each year throughout the U.S. and also offers numerous online courses and membership programs and high-level coaching. The majority of clients are real estate investors and agents looking to build their personal and company real estate portfolios. Founders Than Merrill (a former player for the Chicago Bears), Paul Esajian, and Konrad Sopielnikow are currently featured on A&E's Flip This House.","$270,000",17,2005,#1
63,MMC Systems,3529,$3.8 million,IT Services,Herndon,VA,http://www.inc.com/inc5000/profile/mmc-systems,http://www.mmcsystems.com,"MMC Systems provides professional consulting and software support services to government agencies and major corporations including TD Bank, IBM, Nextel Wireless, and Merck. Services include system analysis, design, development, and implementation of complex software and database systems.","$104,222",84,2004,#4
64,Synteractive,3481,$5.2 million,IT Services,Washington,DC,http://www.inc.com/inc5000/profile/synteractive,http://www.synteractive.com,"Synteractive's areas of expertise include strategy consulting, data visualization, risk analytics, business intelligence, enterprise collaboration, business process reengineering, and cloud solutions. Its products leverage collaborative platforms such as SharePoint and Force.com to address orchestration challenges such as social media management, risk management, and data quality. Its clients are financial services and energy companies, nonprofits, and professional associations.","$145,000",36,2003,#5
65,Zempleo,3467,$59.1 million,Human Resources,Lafayette,CA,http://www.inc.com/inc5000/profile/zempleo,http://www.zempleo.com,"Zempleo is a staffing and HR company with three operating units. Contingent Workforce Solutions places temporary staff in IT, engineering, professional, accounting, and administrative positions. Its 1099 Compliance unit helps companies mitigate the risk associated with independent contractors, and it also offers consulting and business process outsourcing (BPO) to help clients improve supply chain management, logistics, and general efficiency.",$1.7 million,30,2005,#3
66,ClearAccess,3460,$5.7 million,Telecommunications,Vancouver,WA,http://www.inc.com/inc5000/profile/clearaccess,http://www.clearaccess.com,"ClearAccess provides remote management of customer premises equipment to broadband service providers, enabling them to better support home and small to midsize businesses while offering new managed applications such as parental controls and wireless home networking.  ClearAccess software also helps devices in the home work better by improving quality of service and creating intelligent troubleshooting for the consumer. The ClearVision management platform is deployed by more than 50 broadband service providers across the U.S., Latin America, and Europe. The company also licenses its software capabilities directly to major device manufacturers.","$161,000",30,2005,#1
67,Stella & Dot,3458,$32.8 million,Consumer Products & Services,Burlingame,CA,http://www.inc.com/inc5000/profile/stella-dot,http://www.stelladot.com,"Stella & Dot is a direct seller of jewelry through its network of commission-earning 'stylists,' individuals who sign up with the company to host trunk sales of the merchandise in their local communities. Stylists can earn additional income by becoming 'coaches' who lead and teach groups of newer stylists.","$922,801",40,2004,#4
68,InsuranceAgents.com,3450,$11.8 million,Insurance,Columbus,OH,http://www.inc.com/inc5000/profile/insuranceagentscom,http://www.insuranceagents.com,InsuranceAgents.com is a comparison shopping network that helps consumers find cheaper insurance by connecting them with local insurance professionals.,"$331,139",37,2003,#3
69,Service-now.com,3441,$27.8 million,Software,Solana Beach,CA,http://www.inc.com/inc5000/profile/service-nowcom,http://www.service-now.com,"Service-Now.com provides the only enterprise IT service management application available through SaaS, hosted in the cloud, which shifts the onus of maintaining, upgrading, and running the application from the customer to the vendor. In line with its agile and iterative development philosophy of constant innovation, Service-Now.com issues three major product updates a year.  Inspired by the consumer Web, the company's developers have applied its principles and features to the Service-now.com application: mobile device browser access, Google-like global search, drag-and-drop user interface, and Amazon.com-like online shopping, all for enterprise IT.","$784,814",132,2004,#6
70,Ensurity Group,3441,$4.2 million,Insurance,Dallas,TX,http://www.inc.com/inc5000/profile/ensurity-group,http://www.ensuritygroup.com,"Ensurity Group sells myriad types of insurance coverage for families and businesses: life, annuities, homeowners, auto, medical, and disability.","$119,287",12,1997,#4
71,Molding Box,3384,$7.6 million,Logistics & Transportation,Draper,UT,http://www.inc.com/inc5000/profile/molding-box,http://www.moldingbox.com,"Molding Box specializes in direct-to-consumer fulfillment, including printing, labeling, CD and DVD duplication, packaging, and shipping.","$217,640",30,2005,#2
72,HMS,3310,$35.1 million,Government Services,Arlington,VA,http://www.inc.com/inc5000/profile/hms,http://www.hmsna.com,"HMS provides counterterrorism training, consulting, intelligence, and professional services to U.S. military organizations, government agencies, law enforcement, and commercial critical infrastructure. Its expertise is applied to counter the organization, planning, and deployment of terrorist tactics as well as insurgent and organized criminal activity.",$1 million,59,2004,#13
73,Standard Solar,3274,$13.6 million,Energy,Rockville,MD,http://www.inc.com/inc5000/profile/standard-solar,http://www.standardsolar.com,"Standard Solar develops and integrates solar electricity systems for residential, government, commercial, and education customers. Founder Neville Williams was an early champion of solar energy, working as a Department of Energy media specialist in the Carter Administration. He also founded the Solar Electric Light Fund, through which solar energy was brought to more than a half million rural villagers in Africa and Asia in the 1990s.","$401,982",68,2005,#3
74,Integrated Medical Solutions,3222,$8.6 million,Government Services,Mansfield,TX,http://www.inc.com/inc5000/profile/integrated-medical-solutions,http://www.imsi-usa.com,"Integrated Medical Solutions is a third-party administrator that develops and maintains health care provider networks, under government contract, for inmates nationwide as well as provides services to the U.S. Marshals Service. The company currently coordinates outside health care for more than 20,000 inmates, developing and maintaining the various provider networks of hospitals, surgical facilities, long-term care facilities, and physicians, providing appointment scheduling and case management services, and adjudicating and paying claims.","$260,105",14,1999,#14
75,Xirrus,3214,$26.6 million,Telecommunications,Thousand Oaks,CA,http://www.inc.com/inc5000/profile/xirrus,http://www.xirrus.com,"Xirrus manufactures the patented Wi-Fi Array, a powerful, high-capacity, broad-range Wi-Fi system used to securely deliver data, voice and video services to large user populations, including offices, conference rooms, auditoriums, campuses, warehouses, remote users, and emergency response teams.","$802,799",110,2004,#2
76,Employer Flexible,3169,$87.8 million,Human Resources,Houston,TX,http://www.inc.com/inc5000/profile/employer-flexible,http://www.employerflexible.com,"With offices in Houston, Dallas, and San Antonio, Employer Flexible is an executive search, staffing, and HR outsourcing firm. The company is very involved in giving back to the communities it works among, and in April organized the second annual Crawfish Boil, raising $25,000 for MS research with live music, silent and live auctions, games, raffles, children's activities, and, of course, mounds of crawfish.",$2.7 million,55,2003,#4
